type,city,state
Wal-MartStore,New Orleans,LA
Wal-MartStore,Butler,MO
SuperCenter,Ft. Walton Beach,FL
SuperCenter,Corydon,IN
SuperCenter,Crestview,FL
Wal-MartStore,Cuba,MO
SuperCenter,Montgomery,AL
Wal-MartStore,Cassville,MO
Wal-MartStore,Brady,TX
SuperCenter,Gallup,NM
SuperCenter,Griffin,GA
SuperCenter,Daphne,AL
Wal-MartStore,White Settlement,TX
SuperCenter,Ocoee,FL
Wal-MartStore,Tulsa,OK
SuperCenter,Stafford,TX
SuperCenter,Plainview,TX
Wal-MartStore,Winter Haven,FL
